レース名,レースID,開始時刻
福島1R,2503030401,09:45
福島2R,2503030402,10:10
福島3R,2503030403,10:40
福島4R,2503030404,11:10
福島5R,2503030405,12:00
福島6R,2503030406,12:35
福島7R,2503030407,13:05
福島8R,2503030408,13:35
福島9R,2503030409,14:05
福島10R,2503030410,14:40
福島11R,2503030411,15:15
福島12R,2503030412,15:55
東京1R,2505050401,09:50
東京2R,2505050402,10:20
東京3R,2505050403,10:50
東京4R,2505050404,11:20
東京5R,2505050405,12:10
東京6R,2505050406,12:45
東京7R,2505050407,13:15
東京8R,2505050408,13:45
東京9R,2505050409,14:15
東京10R,2505050410,14:50
東京11R,2505050411,15:25
東京12R,2505050412,16:10
京都1R,2508040401,10:00
京都2R,2508040402,10:30
京都3R,2508040403,11:00
京都4R,2508040404,11:30
京都5R,2508040405,12:20
京都6R,2508040406,12:55
京都7R,2508040407,13:25
京都8R,2508040408,13:55
京都9R,2508040409,14:25
京都10R,2508040410,15:00
京都11R,2508040411,15:40
京都12R,2508040412,16:25
